iter	RMSE
314	0.4992521075
315	0.4991999239
316	0.4991483493
317	0.4990898722
318	0.4989752665
319	0.498919459
320	0.4988455647
321	0.498774652
322	0.4986717625
323	0.4985924449
324	0.4985364933
325	0.4983716314
326	0.4982911064
327	0.4982078468
328	0.4981210873
329	0.4980597931
330	0.497969382
331	0.4979229232
332	0.4977849072
333	0.4977313545
334	0.4976630857
335	0.497554842
336	0.4975227335
337	0.4974821695
338	0.4974406391
339	0.4972644509
340	0.4971815616
341	0.4970676123
342	0.496970814
343	0.4968974034
344	0.4968419035
345	0.4968052011
346	0.496645153
347	0.4965871035
348	0.4964299478
349	0.4963533995
350	0.4962716343
351	0.4962109434
352	0.4961243645
353	0.4960374808
354	0.4959947129
355	0.4959453288
356	0.4959076757
357	0.4958323605
358	0.4957955671
359	0.4957421155
360	0.4956427307
361	0.4955913147
362	0.4954008356
363	0.4953317015
364	0.4951608539
365	0.4950845305
366	0.4950278346
367	0.4948977194
368	0.4948032367
369	0.4947520549
370	0.4946423183
371	0.4945553593
372	0.4945214728
373	0.4944577593
374	0.4943999977
375	0.4942931545
376	0.4942544117
377	0.494187108
378	0.4940723537
379	0.4940177349
380	0.4939623277
381	0.4938992175
382	0.4937931081
383	0.4937526608
384	0.4936379327
385	0.4935313136
386	0.4934079712
387	0.4933661713
388	0.4932878997
389	0.4932411902
390	0.493175333
391	0.4931003854
392	0.4930631829
393	0.4930027485
394	0.4929498761
395	0.4928326031
396	0.4927889313
397	0.4927386657
398	0.4926938551
399	0.4926207318
400	0.4925607151
401	0.4924963784
402	0.4923760379
403	0.4923071791
404	0.4922684146
405	0.492224288
406	0.4921849224
407	0.4921186379
408	0.4920457868
409	0.4919418752
410	0.4918908781
411	0.4918546833
412	0.4917947244
413	0.4917330134
414	0.4916598414
415	0.4915530193
416	0.4914998193
417	0.4914714559
418	0.491437135
419	0.4913927916
420	0.4913165641
421	0.4912726401
422	0.491104809
423	0.4910533847
424	0.490985276
425	0.4909489979
426	0.490896956
427	0.4907909466
428	0.4906359047
429	0.4905930201
430	0.4905142226
431	0.49047248
432	0.4904315221
433	0.4903828418
434	0.4903298295
435	0.4902772532
436	0.4901705362
437	0.4900533749
438	0.4900171461
439	0.4899763696
440	0.489932929
441	0.4898867697
442	0.4898374314
443	0.489802653
444	0.4897604654
445	0.4897300914
446	0.4896481605
447	0.4896171895
448	0.489592706
449	0.4895601459
450	0.4895079862
451	0.4894190204
452	0.4893307181
453	0.4892993077
454	0.4891901405
455	0.4891302229
456	0.4890938862
457	0.4889965663
458	0.4889220809
459	0.4888845592
460	0.4888417558
461	0.4887792153
462	0.4887346392
463	0.4887013561
464	0.4886698428
465	0.4885817882
466	0.4885563237
467	0.4885062679
468	0.4884697934
469	0.48838629
470	0.4883541526
471	0.4883377164
472	0.4883002738
473	0.4882757436
474	0.4882544239
475	0.4882152362
476	0.4881320269
477	0.4880809908
478	0.4880342923
479	0.4879869264
480	0.4879433883
481	0.4878889996
482	0.4878669191
483	0.4877905906
484	0.4877371997
485	0.4876597235
486	0.4876237929
487	0.4875354016
488	0.4874609646
489	0.4873793089
490	0.4872996124
491	0.4872674304
492	0.4872228938
493	0.4871815701
494	0.4871222291
495	0.4870930326
496	0.4870586965
497	0.4869860991
498	0.4869397757
499	0.4868921806
500	0.4868257345
501	0.4867577096
502	0.4867092042
503	0.4866545474
504	0.4866028351
505	0.4865721453
506	0.4865250123
507	0.4864892134
508	0.4864455338
509	0.486414373
510	0.4863320981
511	0.4863044443
512	0.4862701779
513	0.4861791024
514	0.486137411
515	0.4860888001
516	0.4860668096
517	0.48602762
518	0.4859701086
519	0.485941202
520	0.4858620799
521	0.4858432643
522	0.4857994553
523	0.4857553215
524	0.4857105966
525	0.4856889836
526	0.4856346228
527	0.4856119688
528	0.4855339036
529	0.4854840466
530	0.4854416201
531	0.4854160668
532	0.4853971142
533	0.485303168
534	0.4852707685
535	0.4852463739
536	0.4852068675
537	0.4851613048
538	0.4850984971
539	0.485067189
540	0.4850159736
541	0.484968408
542	0.4849039369
543	0.4848865502
544	0.4848429988
545	0.4848199237
546	0.4847799185
547	0.4846662559
548	0.4846488277
549	0.4846034449
550	0.4845779454
551	0.4845400791
552	0.484517071
553	0.4844854231
554	0.4844400952
555	0.4844065419
556	0.4843635825
557	0.4843397596
558	0.4842953663
559	0.4842141699
560	0.484173183
561	0.4840952192
562	0.484022256
563	0.4839894456
564	0.483906322
565	0.4838808827
566	0.4838330514
567	0.483790869
568	0.4837651562
569	0.483720485
570	0.4836330946
571	0.4836122009
572	0.4835477024
573	0.4834943464
574	0.4834236154
575	0.4833931719
576	0.4833538247
577	0.4832848583
578	0.4832612806
579	0.4832349827
580	0.4832027959
581	0.4831517478
582	0.4831108045
583	0.4830804298
584	0.4829912092
585	0.4829671362
586	0.4829043426
587	0.4828800556
588	0.4828248408
589	0.4828033321
590	0.4827577402
591	0.4827203137
592	0.4826849859
593	0.4826451673
594	0.4826139623
595	0.4825707765
596	0.4824613465
597	0.4823944955
598	0.4823717208
599	0.4823400224
600	0.4822669037
601	0.4822430564
602	0.4821836046
603	0.4821632338
604	0.4821432427
605	0.4821124183
606	0.4820877879
607	0.4820363253
608	0.4820077559
609	0.4819805569
610	0.4819585909
611	0.4819224671
612	0.4818269036
613	0.4818106586
614	0.4817864077
615	0.4817576956
616	0.4817328615
617	0.4817029746
618	0.4816853779
619	0.4816705693
620	0.4816219755
621	0.4816062745
622	0.4815889508
623	0.4815424567
624	0.4814864587
